"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","pco1_c","~","MAP",0.146976830071395,0.0433025088376136,3.39418740430409,0.00068832571935018,0.0621054723094448,0.231848187833345,0.146976830071395,0.146260234907294,0.146731283582221
"2","pco1_c","~","Lat",-0.157460480120666,0.0435568524104681,-3.6150564470729,0.000300282186968426,-0.24283034212511,-0.0720906181162215,-0.157460480120666,-0.156692771233921,-0.157197419146644
"3","pco1_c","~","Clay",-0.112529303194449,0.0225246883842749,-4.99582064242935,5.85860923996151e-07,-0.156676881190615,-0.0683817251982825,-0.112529303194449,-0.111980659204443,-0.112341306383556
"4","pco1_c","~","Ptot_mg",0.102935129957827,0.024414388007753,4.21616670977535,2.48490091998566e-05,0.0550838087580443,0.150786451157609,0.102935129957827,0.102433262987992,0.102763161629475
"5","pco1_c","~","pH",0.217736286944002,0.0268400908169941,8.11235283921395,4.44089209850063e-16,0.165130675600909,0.270341898287095,0.217736286944002,0.216674699412161,0.217372526337661
"6","pco1_c","~","pco1_f",0.956522962791637,0.0511762206095386,18.6907698809895,0,0.856219413532065,1.05682651205121,0.956522962791637,0.951859372420593,0.951859372420593
"7","pco1_f","~","MAP",0.640619972733129,0.0349332107245365,18.3384223621669,0,0.572152137848689,0.709087807617569,0.640619972733129,0.640619972733129,0.64268316639256
"8","pco1_f","~","Lat",0.677602296505498,0.028801449761759,23.5266732095265,0,0.621152492269911,0.734052100741086,0.677602296505498,0.677602296505498,0.679784596185918
"9","pco1_f","~","Clay",-0.217069555044501,0.0310514625417983,-6.99063867772102,2.73647771109609e-12,-0.27792930329372,-0.156209806795282,-0.217069555044501,-0.217069555044501,-0.217768653650048
"10","pco1_f","~","Ctot_mg",-0.312288613640078,0.0320137582900938,-9.75482512269455,0,-0.375034426898432,-0.249542800381723,-0.312288613640078,-0.312288613640078,-0.313294376674324
"11","pco1_f","~","Ntot_mg",0.332551738470669,0.0548287814628035,6.06527684180389,1.31726562990764e-09,0.225089301487357,0.440014175453981,0.332551738470669,0.332551738470669,0.333622761335158
"12","pco1_f","~","Ptot_mg",-0.144993200079399,0.0390607276175637,-3.71199434631634,0.000205632581596005,-0.221550819419753,-0.0684355807390452,-0.144993200079399,-0.144993200079399,-0.145460168116296
"13","pco1_c","~~","pco1_c",0.0639840571406334,0.00724476784517341,8.83176086632792,0,0.0497845730877396,0.0781835411935271,0.0639840571406334,0.0637704461005331,0.0637704461005331
"14","pco1_f","~~","pco1_f",0.101081035013445,0.0114451734533289,8.8317608663279,0,0.0786489072481066,0.123513162778784,0.101081035013445,0.101733170723209,0.101733170723209
"15","MAP","~~","MAP",0.993589743589744,0,NA,NA,0.993589743589744,0.993589743589744,0.993589743589744,1,0.993589743589744
"16","MAP","~~","Lat",-0.159138531033287,0,NA,NA,-0.159138531033287,-0.159138531033287,-0.159138531033287,-0.160165231233501,-0.159138531033287
"17","MAP","~~","Clay",0.103601220634864,0,NA,NA,0.103601220634864,0.103601220634864,0.103601220634864,0.104269615606702,0.103601220634864
"18","MAP","~~","Ptot_mg",0.406049155705111,0,NA,NA,0.406049155705111,0.406049155705111,0.406049155705111,0.408668827677402,0.406049155705111
"19","MAP","~~","pH",0.0322004848025085,0,NA,NA,0.0322004848025085,0.0322004848025085,0.0322004848025085,0.0324082298657505,0.0322004848025085
"20","MAP","~~","Ctot_mg",0.25959872754986,0,NA,NA,0.25959872754986,0.25959872754986,0.25959872754986,0.261273558050182,0.25959872754986
"21","MAP","~~","Ntot_mg",0.614100486574503,0,NA,NA,0.614100486574503,0.614100486574503,0.614100486574503,0.618062425197564,0.614100486574503
"22","Lat","~~","Lat",0.993589743589743,0,NA,NA,0.993589743589743,0.993589743589743,0.993589743589743,1,0.993589743589743
"23","Lat","~~","Clay",0.111992670355841,0,NA,NA,0.111992670355841,0.111992670355841,0.111992670355841,0.112715203712976,0.111992670355841
"24","Lat","~~","Ptot_mg",0.274118938344844,0,NA,NA,0.274118938344844,0.274118938344844,0.274118938344844,0.275887447624489,0.274118938344844
"25","Lat","~~","pH",-0.620535459655743,0,NA,NA,-0.620535459655743,-0.620535459655743,-0.620535459655743,-0.624538914234167,-0.620535459655743
"26","Lat","~~","Ctot_mg",-0.213141746841601,0,NA,NA,-0.213141746841601,-0.213141746841601,-0.213141746841601,-0.214516854885741,-0.213141746841601
"27","Lat","~~","Ntot_mg",0.0340398584439845,0,NA,NA,0.0340398584439845,0.0340398584439845,0.0340398584439845,0.0342594704339457,0.0340398584439845
"28","Clay","~~","Clay",0.993589743589744,0,NA,NA,0.993589743589744,0.993589743589744,0.993589743589744,1,0.993589743589744
"29","Clay","~~","Ptot_mg",0.208513751833445,0,NA,NA,0.208513751833445,0.208513751833445,0.208513751833445,0.209859001845273,0.208513751833445
"30","Clay","~~","pH",-0.0357647393689277,0,NA,NA,-0.0357647393689277,-0.0357647393689277,-0.0357647393689277,-0.0359954796229208,-0.0357647393689277
"31","Clay","~~","Ctot_mg",0.229849823162828,0,NA,NA,0.229849823162828,0.229849823162828,0.229849823162828,0.231332725247749,0.229849823162828
"32","Clay","~~","Ntot_mg",0.473238970697767,0,NA,NA,0.473238970697767,0.473238970697767,0.473238970697767,0.47629212534743,0.473238970697767
"33","Ptot_mg","~~","Ptot_mg",0.993589743589744,0,NA,NA,0.993589743589744,0.993589743589744,0.993589743589744,1,0.993589743589744
"34","Ptot_mg","~~","pH",-0.242995961700245,0,NA,NA,-0.242995961700245,-0.242995961700245,-0.242995961700245,-0.244563677582182,-0.242995961700245
