"","phylum","class","order","family","genus","species","nutrition","morphology"
"OTUc_12668","Cercozoa","Imbricatea","Euglyphida","unclassified","unclassified","unclassified","unknown","testate_cell_silica"
"OTUc_12669","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_1267","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12670","Cercozoa","Sarcomonadea","Glissomonadida","Proleptomonadidae","Proleptomonas","unclassified","bacterivore","naked_flagellate"
"OTUc_12671","Cercozoa","Thecofilosea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12672","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_12673","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12674","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_12675","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12676","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12677","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12678","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","unclassified","bacterivore","naked_amoeboflagellate"
"OTUc_12679","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_1268","Cercozoa","Sarcomonadea","Glissomonadida","Bodomorphidae","Bodomorpha","Bodomorpha_sp.","bacterivore","naked_flagellate"
"OTUc_12680","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12681","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12682","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12683","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12684","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_12685","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12686","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12687","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","Eocercomonas","Eocercomonas_sp.","omnivore","naked_amoeboflagellate"
"OTUc_12688","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_12689","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_1269","Cercozoa","Thecofilosea","Cryomonadida","Protaspididae","Protaspa","unclassified","eukaryvore","testate_cell_organic"
"OTUc_12690","Rhizaria-incertae-sedis","Tremulida","Tremulida_unassigned","Tremulidae","Tremula","Tremula_longifila","eukaryvore","naked_flagellate"
"OTUc_12691","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12692","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12693","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
"OTUc_12694","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12695","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12696","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","unclassified","bacterivore","naked_amoeboflagellate"
"OTUc_12697","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12698","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_127","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomonadidae","Thaumatomonas","Thaumatomonas_seravini","bacterivore","testate_cell_silica"
"OTUc_1270","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12700","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12701","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12702","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12703","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12704","Cercozoa","unclassified","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12705","Cercozoa","Sarcomonadea","Glissomonadida","Sandonidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_12706","Cercozoa","Thecofilosea","Cryomonadida","Rhogostomidae","unclassified","unclassified","omnivore","testate_cell_organic"
"OTUc_12707","Cercozoa","Sarcomonadea","Cercomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12708","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12709","Cercozoa","Sarcomonadea","Glissomonadida","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_1271","Cercozoa","Imbricatea","Thaumatomonadida","Peregriniidae","Peregrinia","Peregrinia_clavideferens","bacterivore","testate_cell_silica"
"OTUc_12710","Cercozoa","Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_sp.","bacterivore","naked_amoeboflagellate"
"OTUc_12711","Cercozoa","Sarcomonadea","Glissomonadida","Allapsidae","unclassified","unclassified","bacterivore","naked_flagellate"
"OTUc_12712","Cercozoa","Imbricatea","Euglyphida","Trinematidae","unclassified","unclassified","omnivore","testate_cell_silica"
"OTUc_12713","Cercozoa","Sarcomonadea","unclassified","unclassified","unclassified","unclassified","unknown","unknown"
"OTUc_12714","Cercozoa","Sarcomonadea","Cercomonadida","Cercomonadidae","unclassified","unclassified","unknown","unknown"
"OTUc_12715","Cercozoa","Thecofilosea","Cryomonadida","unclassified","unclassified","unclassified","unknown","testate_cell_organic"
