OTU;kingdom;phylum;class;order;family;genus;species
OTU_421250;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_42145;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_421457;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;unclassified;unclassified
OTU_421610;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;unclassified;unclassified
OTU_421674;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;unclassified;unclassified
OTU_421689;Bacteria;Gemmatimonadetes;Gemmatimonadetes;N1423WL;unclassified;unclassified;unclassified
OTU_421757;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Ellin5290;unclassified;unclassified;unclassified
OTU_42182;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_421826;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;unclassified
OTU_42183;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter;unclassified
OTU_42191;Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae];unclassified;unclassified
OTU_42193;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;unclassified;unclassified;unclassified
OTU_422;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;RB40;unclassified;unclassified
OTU_42226;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;unclassified;unclassified
OTU_422317;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;unclassified;unclassified
OTU_42236;Bacteria;Bacteroidetes;[Saprospirae];[Saprospirales];Chitinophagaceae;Segetibacter;unclassified
OTU_4224;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;unclassified;unclassified
OTU_422436;Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae];DA101;unclassified
OTU_4225;Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;unclassified;unclassified;unclassified
OTU_42252;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;unclassified
OTU_422548;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unclassified;unclassified
OTU_42257;Bacteria;Proteobacteria;Deltaproteobacteria;Spirobacillales;unclassified;unclassified;unclassified
OTU_422687;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unclassified
OTU_42269;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;unclassified;unclassified
OTU_42270;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_422732;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_422748;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;unclassified;unclassified
OTU_42289;Bacteria;Bacteroidetes;[Saprospirae];[Saprospirales];Chitinophagaceae;unclassified;unclassified
OTU_423;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;unclassified;unclassified;unclassified
OTU_42314;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified;unclassified;unclassified
OTU_42315;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_42316;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;unclassified;unclassified
OTU_42322;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;unclassified
OTU_42332;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;unclassified
OTU_42342;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;unclassified;unclassified;unclassified
OTU_423446;Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84;unclassified;unclassified;unclassified
OTU_42351;Bacteria;TM6;SJA-4;unclassified;unclassified;unclassified;unclassified
OTU_423514;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_423613;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_423639;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unclassified;unclassified
OTU_42366;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;unclassified;unclassified
OTU_42368;Bacteria;Acidobacteria;[Chloracidobacteria];nov-24;unclassified;unclassified;unclassified
OTU_423689;Bacteria;Acidobacteria;[Chloracidobacteria];RB41;Ellin6075;unclassified;unclassified
OTU_423705;Bacteria;Acidobacteria;Solibacteres;Solibacterales;unclassified;unclassified;unclassified
OTU_423710;Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae];DA101;unclassified
OTU_423718;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_423752;Bacteria;Proteobacteria;Betaproteobacteria;SBla14;unclassified;unclassified;unclassified
OTU_42379;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;unclassified;unclassified
OTU_4238;Bacteria;Proteobacteria;Alphaproteobacteria;BD7-3;unclassified;unclassified;unclassified
OTU_42380;Bacteria;TM6;SJA-4;unclassified;unclassified;unclassified;unclassified
OTU_42381;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;unclassified
OTU_423915;Bacteria;Proteobacteria;Deltaproteobacteria;MIZ46;unclassified;unclassified;unclassified
OTU_4240;Bacteria;Elusimicrobia;Elusimicrobia;FAC88;unclassified;unclassified;unclassified
OTU_424098;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_424193;Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84;unclassified;unclassified;unclassified
OTU_4242;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_42423;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;thermodenitrificans
OTU_424235;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;mb2424;unclassified;unclassified
OTU_424317;Bacteria;Bacteroidetes;[Saprospirae];[Saprospirales];Chitinophagaceae;unclassified;unclassified
OTU_42435;Bacteria;Verrucomicrobia;[Methylacidiphilae];S-BQ2-57;unclassified;unclassified;unclassified
OTU_424358;Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;unclassified
OTU_42436;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Actinomadura;vinacea
OTU_424394;Bacteria;Gemmatimonadetes;Gemmatimonadetes;unclassified;unclassified;unclassified;unclassified
OTU_424424;Bacteria;Elusimicrobia;Elusimicrobia;IIb;unclassified;unclassified;unclassified
OTU_42444;Bacteria;Armatimonadetes;SJA-176;unclassified;unclassified;unclassified;unclassified
OTU_424451;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unclassified;unclassified
OTU_424490;Bacteria;Chloroflexi;C0119;unclassified;unclassified;unclassified;unclassified
OTU_424497;Bacteria;Proteobacteria;Betaproteobacteria;A21b;EB1003;unclassified;unclassified
OTU_42468;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Koribacteraceae;Candidatus Koribacter;unclassified
OTU_42484;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;unclassified
OTU_42489;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;unclassified;unclassified
OTU_424894;Bacteria;Chloroflexi;Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae;unclassified;unclassified
