Sample_No;country_ID;Sample_ID;country;landuse;landuse_ID;SM;Clay;BD;MWD;Ctot_mg;Ntot_mg;Ptot_mg;pH;Lat;Long;MAT;MAP;bact16S;fungITS
s169;GER;GE43;Germany;grassland;gr;0.268;12.6;1.29;2.26;48800;4530;837.69;7.75;53.349999;13.74359;8.4;563;1502858.719;41947.92512
s170;GER;GE46;Germany;grassland;gr;0.06;13.5;1.3;2.03;15500;1300;445.33;6.98;53.365754;13.720488;8.4;563;1855388.5;65325.70079
s171;GER;GE49;Germany;grassland;gr;0.085;13.7;1.43;3.34;22400;1580;495.25;7.24;53.334467;13.646029;8.2;574;1854987.875;76528.10439
s172;GER;GE52;Germany;grassland;gr;0.046;8.8;1.21;2.47;20200;1040;461.52;7.99;53.324188;13.780387;8.5;561;1822903.781;95329.71465
s173;GER;GE55;Germany;grassland;gr;0.034;7.6;1.56;2.73;10400;870;510.14;7.33;53.343022;13.789101;8.4;563;1726525.875;82003.0627
s174;GER;GE58;Germany;cropland;cr;0.078;12.2;1.54;1.13;11700;1040;347.37;7.16;53.350577;13.743945;8.4;563;1605237;125342.993
s175;GER;GE61;Germany;cropland;cr;0.066;13.1;1.48;1.27;12400;1050;459.26;6.93;53.364539;13.721519;8.4;563;2013575.438;183830.4903
s176;GER;GE64;Germany;cropland;cr;0.084;18.1;1.56;0.79;10400;840;575.59;7.41;53.336125;13.645535;8.2;574;1375339.438;161001.0396
s177;GER;GE67;Germany;cropland;cr;0.074;13.4;1.48;1.67;13300;1030;469.65;7.92;53.323387;13.778924;8.5;561;1895018.938;110973.9061
s178;GER;GE70;Germany;cropland;cr;0.085;12.6;1.47;1.36;18100;1040;527.21;7.94;53.343158;13.79236;8.6;552;2528671.625;131980.9978
s179;GER;GE73;Germany;cropland;cr;0.055;10.8;1.48;0.59;9500;760;421.92;7.39;53.372768;13.800448;8.6;552;1468717.688;104501.0793
s180;GER;GE76;Germany;cropland;cr;0.081;15.9;1.31;0.58;15200;1320;579.73;7.42;53.32177;13.793753;8.6;551;1866357.625;134586.2297
s181;GER;GE79;Germany;cropland;cr;0.052;16.9;1.12;0.79;8700;640;423.92;6.86;53.373274;13.801252;8.6;552;1663026.063;162251.5073
s182;GER;GE82;Germany;cropland;cr;0.071;17.5;1.46;0.81;8200;630;382.92;6.91;53.372947;13.80056;8.6;552;1558738.25;134375.4306
s183;GER;GE85;Germany;cropland;cr;0.052;18.1;1.51;0.46;7400;510;401.79;6.75;53.373097;13.800563;8.6;552;1608343.25;137046.5086
s184;SWE;SW1;Sweden;cropland;cr;0.18;43.9;1.16;0.98;22600;2300;1005.46;5.58;59.832631;17.698857;5.8;551;1403865.25;153005.5415
s185;SWE;SW2;Sweden;cropland;cr;0.17;46.9;1.2;1.15;25800;2540;996.95;5.62;59.832631;17.698857;5.8;551;553786.6875;63298.76745
s186;SWE;SW3;Sweden;cropland;cr;0.15;31.6;1.23;0.84;17900;1680;1237.18;6.34;59.832631;17.698857;5.8;551;2185938.625;179316.9312
s187;SWE;SW4;Sweden;cropland;cr;0.12;27.8;1.27;0.87;17200;1630;1069.07;6.38;59.832631;17.698857;5.8;551;1489902.438;121801.3373
s188;SWE;SW5;Sweden;cropland;cr;0.16;31.1;1.09;1.97;19300;1830;1219.78;6.68;59.832631;17.698857;5.8;551;1499910.438;159154.1133
s189;SWE;SW6;Sweden;cropland;cr;0.15;37.2;1.22;1.98;17400;1690;1175.58;6.9;59.832631;17.698857;5.8;551;1651168.313;155389.986
s190;SWE;SW7;Sweden;cropland;cr;0.16;31;0.97;1.64;17900;1780;1143.15;6.62;59.832631;17.698857;5.8;551;1705171.75;180593.6547
s191;SWE;SW8;Sweden;cropland;cr;0.16;23.7;1.28;1.07;19100;1820;1037.91;6.67;59.832631;17.698857;5.8;551;1369760.313;145559.4367
s192;SWE;SW9;Sweden;cropland;cr;0.15;26;1.23;1.69;20200;1870;1078.09;6.67;59.832631;17.698857;5.8;551;1755274.688;160753.9757
s193;SWE;SW10;Sweden;cropland;cr;0.13;27.4;1.29;1.54;16300;1600;1082.6;6.94;59.832631;17.698857;5.8;551;2315787.875;90669.47326
s194;SWE;SW11;Sweden;cropland;cr;0.13;24.2;1.38;1.48;17000;1640;1088.07;6.85;59.832631;17.698857;5.8;551;2390156.375;199186.1293
s195;SWE;SW12;Sweden;cropland;cr;0.11;21.5;1.26;1.22;18700;1760;1060.11;6.87;59.832631;17.698857;5.8;551;1626676.688;77729.44021
s196;SWE;SW13;Sweden;cropland;cr;0.2;21.9;1.39;0.8;15300;1470;1047.29;6.54;59.832631;17.698857;5.8;551;1403468.75;108390.5715
s197;SWE;SW14;Sweden;grassland;gr;0.12;47.1;1.12;2.93;33200;3090;979.94;5.82;59.832631;17.698857;5.8;551;1738728.563;235510.6118
s198;SWE;SW15;Sweden;cropland;cr;0.11;48.8;;;18700;1650;620.19;6.47;58.347769;13.126463;6.3;656;1332204.938;122071.5362
s199;SWE;SW16;Sweden;cropland;cr;0.06;45.2;;;16900;1560;546.93;6.1;58.347769;13.126463;6.3;656;1052585.031;102028.9601
s200;SWE;SW17;Sweden;cropland;cr;0.15;44.3;;;25300;2360;686.24;5.9;58.347769;13.126463;6.3;656;1482287.531;86998.32101
s201;SWE;SW18;Sweden;cropland;cr;0.12;43.2;;;22000;1950;721.35;5.96;58.347769;13.126463;6.3;656;1751139.563;166765.5362
s202;SWE;SW19;Sweden;cropland;cr;0.14;45.4;;;21300;1910;767.24;6.18;58.347769;13.126463;6.3;656;1634247.375;156755.2617
s203;SWE;SW20;Sweden;cropland;cr;0.05;45;;;19200;1660;636.56;6.14;58.347769;13.126463;6.3;656;1158305.625;104989.6658
s204;SWE;SW21;Sweden;cropland;cr;0.14;44.6;;;20000;1710;721.31;6.16;58.347769;13.126463;6.3;656;1628667.125;109420.3778
s205;SWE;SW22;Sweden;cropland;cr;0.12;45.8;;;21800;1870;696.07;5.95;58.347769;13.126463;6.3;656;1525439.688;218629.8061
s206;SWE;SW23;Sweden;cropland;cr;0.14;46.5;;;22700;1930;766.39;5.93;58.347769;13.126463;6.3;656;1427365.125;164924.0065
s207;SWE;SW24;Sweden;cropland;cr;0.12;47.2;;;20000;1650;755.48;6.25;58.347769;13.126463;6.3;656;1676848.813;174842.7214
s208;SWE;SW25;Sweden;cropland;cr;0.14;42.6;;;17200;1560;744.52;6.42;58.347769;13.126463;6.3;656;1675195.25;139128.8354
s209;SWE;SW26;Sweden;cropland;cr;0.13;46.2;;;21900;1820;589.22;6.76;58.347769;13.126463;6.3;656;1938811.563;140858.4278
s210;SWE;SW27;Sweden;grassland;gr;0.2;45.2;;;30800;2590;425.87;5.89;58.347769;13.126463;6.3;656;1222949.563;54591.6834
s211;SWE;SW28;Sweden;cropland;cr;0.14;21.9;1.47;2.33;18100;1700;494.96;6.31;55.66917;13.1027;8;631;1311449.188;117631.9926
s212;SWE;SW29;Sweden;cropland;cr;0.14;24.8;1.55;0.7;12600;1140;491.76;6.38;55.66917;13.1027;8;631;1117236.75;95505.1212
s213;SWE;SW30;Sweden;grassland;gr;0.32;22.7;1.22;3.01;23800;2190;564.08;5.63;55.66917;13.1027;8;631;1222626.188;69059.91581
s214;SWE;SW31;Sweden;cropland;cr;0.31;16.4;1.06;1.13;28600;1870;1112.51;5.4;63.81083;20.24199;2.7;572;1090453.156;52052.58008
s215;SWE;SW32;Sweden;cropland;cr;0.29;9.7;1.15;1.39;26700;1680;1151.38;5.78;63.81083;20.24199;2.7;572;902003.3906;33140.14551
s216;SWE;SW33;Sweden;cropland;cr;0.28;9.4;1.15;0.92;26500;1640;1238.01;5.91;63.81083;20.24199;2.7;572;852932.2969;29835.37207
s217;SWE;SW34;Sweden;cropland;cr;0.3;9.2;1.09;1.27;27300;1760;1315.21;5.59;63.81083;20.24199;2.7;572;1000628.359;35986.38086
