Sample_No;country_ID;Sample_ID;country;landuse;landuse_ID;SM;Clay;BD;MWD;Ctot_mg;Ntot_mg;Ptot_mg;pH;Lat;Long;MAT;MAP;bact16S;fungITS
s039;FRA;FR6;France;grassland;gr;0.109;16.4;1.06;1.4;126200;1510;0.43;7.8;43.6483;3.8829;13.7;752;1498386.938;114732.9606
s040;FRA;FR7;France;cropland;cr;0.073;27.9;1.24;0.56;50700;1010;443.12;8.03;43.6167;3.974;13.9;754;1208791.844;99276.88058
s041;FRA;FR8;France;cropland;cr;0.068;31.3;1.46;0.61;54100;1120;405.35;8.01;43.615902;3.976568;13.9;754;1510776.938;130601.0825
s042;FRA;FR9;France;cropland;cr;0.063;30;1.48;0.64;54200;1000;505.77;7.97;43.61605;3.975727;13.9;754;1636537.625;121064.3487
s043;FRA;FR10;France;cropland ;cr;0.088;34.5;1.38;0.64;59100;940;348.57;8.05;43.615201;3.975673;13.9;754;1676376.938;100697.2702
s044;FRA;FR11;France;cropland ;cr;0.064;27.2;1.24;0.47;52300;920;349.3;8.09;43.6139;3.97918;13.9;754;1523454.188;155315.4235
s045;FRA;FR12;France;grassland;gr;0.071;21.6;1.54;2.07;53700;1110;585.33;7.96;43.6173;3.9749;13.9;754;1434630.438;195726.2908
s046;FRA;FR13;France;cropland;cr;0.14;40.1;1.06;1.18;19000;1730;416.94;7.87;47.1357;5.53039;10.5;890;1507720.375;104494.9838
s047;FRA;FR14;France;cropland ;cr;0.12;34.4;1.16;2.37;16900;1550;676.28;7.83;47.135861;5.52108;10.5;890;1561041;70523.81588
s048;FRA;FR15;France;cropland ;cr;0.099;36.3;1.2;1.19;12300;1300;570.8;6.5;47.131621;5.53161;10.5;890;1603707.563;99416.75222
s049;FRA;FR16;France;cropland ;cr;0.093;31.9;1.22;1.09;10800;1170;442.34;6.9;47.133361;5.45433;10.7;843;1177312.656;58337.48234
s050;FRA;FR17;France;cropland ;cr;0.163;26.4;1.06;1;90200;3170;873.08;7.9;47.133872;5.33897;10.9;813;1483370.5;60320.25345
s051;FRA;FR18;France;cropland;cr;0.097;30.4;1.2;0.66;13100;1410;750.85;7.1;47.143577;5.35308;10.9;813;1425372.094;96806.14911
s052;FRA;FR19;France;grassland;gr;0.141;36.2;1.04;3.82;60900;1610;499.38;7.77;47.134469;5.42659;10.7;843;1361032.469;120410.0233
s053;FRA;FR20;France;grassland;gr;0.183;35.2;1.01;3.68;68300;2650;866.37;7.53;47.13395;5.4291;10.7;843;1576768;137288.5931
s054;FRA;FR21;France;cropland;cr;0.089;32;1.26;0.49;10400;1000;786.49;6.81;47.243276;5.100211;10.7;765;1614128.375;109294.4594
s055;FRA;FR22;France;cropland;cr;0.108;43.4;1.11;2.43;18300;1780;698.21;7.52;47.240649;5.09639;10.7;765;1679989.75;157281.8619
s056;FRA;FR23;France;cropland;cr;0.111;42.8;1.09;2.21;18600;1890;1739.87;7.2;47.235864;5.103856;10.7;765;1389029.438;80810.19707
s057;FRA;FR24;France;cropland;cr;0.139;45.1;1.08;2.97;23000;2160;968.72;7.91;47.232725;5.111105;10.7;765;1608061.188;87635.83337
s058;FRA;FR25;France;grassland;gr;0.151;44.2;1.32;3.32;27000;2460;898.98;7.09;47.233079;5.106059;10.7;765;1958484.313;181252.1979
s059;FRA;FR26;France;grassland;gr;0.188;40.8;1.17;4.2;46700;3520;1181.7;7.31;47.232674;5.111348;10.7;765;1817823.875;100927.4586
s060;FRA;FR27;France;cropland;cr;0.135;51.6;0.96;3.65;33400;3320;1213.3;7.33;47.38979;4.774691;8.9;897;1783793.563;152526.604
s061;FRA;FR28;France;cropland;cr;0.119;50.4;1.22;3.42;33100;3290;1162.98;7.41;47.389958;4.774793;8.9;897;1401389.688;122327.6847
s062;FRA;FR29;France;cropland;cr;0.125;48.2;1.12;3.54;34500;3320;1122.36;7.69;47.390044;4.774831;8.9;897;1973352.25;101297.2777
s063;FRA;FR30;France;cropland;cr;0.117;51;1.1;3.14;32600;3180;1047.46;7.53;47.39015;4.774936;8.9;897;1516609.063;111882.2562
s064;FRA;FR31;France;cropland;cr;0.117;50.3;1.17;3.12;32000;3170;1107.34;7.55;47.390289;4.775035;8.9;897;1765988.063;102794.0152
s065;FRA;FR32;France;cropland;cr;0.164;54.9;1.08;3.38;32700;3140;1081.97;7.73;47.390386;4.775062;8.9;897;2352345.438;104038.8597
s066;FRA;FR33;France;cropland;cr;0.119;46.2;1.01;3.39;35400;3530;1080.58;7.5;47.390526;4.775187;8.9;897;1942883.375;122926.6289
s067;FRA;FR34;France;cropland;cr;0.115;44.2;1.09;3.74;36000;3480;1084.13;7.49;47.390616;4.77522;8.9;897;2085026.938;108553.5399
s068;FRA;FR35;France;grassland;gr;0.149;45.6;1.24;4.11;37600;3260;1127.97;7.49;47.389603;4.774764;8.9;897;2144993.125;103524.0037
s069;FRA;FR36;France;cropland;cr;0.161;21.4;1.19;0.45;10400;1120;500.54;6.55;48.326813;2.382192;10.9;645;1917581.375;272255.7798
s070;FRA;FR37;France;cropland;cr;0.167;19.8;1.4;2.92;13500;1360;580.1;5.9;48.327091;2.380599;10.9;645;929830.1094;145620.8531
s071;FRA;FR38;France;grassland;gr;0.176;21.1;1.42;0.73;20600;2060;593.1;6.85;48.325879;2.380743;10.9;645;1569570.813;64893.97215
s072;FRA;FR39;France;grassland;gr;0.167;25.5;1.33;2.51;20300;2070;590.38;7.29;48.324773;2.382019;10.9;645;1636508.563;82502.66301
s073;SWI;CH1;Switzerland;cropland;cr;0.301;25.6;1.16;3.11;32100;3190;1050.02;7.54;47.27856667;8.637666667;9.1;1128;1466103.313;42224.89118
s074;SWI;CH2;Switzerland;grassland;gr;0.25;40.5;0.83;3.67;29100;3100;720.4;6.77;47.48746667;8.558616667;8.9;1084;1408346;58626.42209
s075;SWI;CH3;Switzerland;cropland;cr;0.208;21.1;0.89;2.89;20900;2190;858.32;6.54;47.52235;9.082366667;8.7;1064;1341996.313;75901.35942
s076;SWI;CH4;Switzerland;cropland;cr;0.338;36.7;0.92;2.76;33500;3310;1427.18;7.25;47.32073333;8.63385;8;1200;1373898.375;46444.97659
s077;SWI;CH5;Switzerland;grassland;gr;0.227;39.1;0.98;3.93;26200;2670;652.33;6.3;47.48995;8.46535;9.1;1067;1157143.25;58867.92259
s078;SWI;CH6;Switzerland;cropland;cr;0.194;21.3;1.09;3.3;24200;2550;763.79;6.56;47.52306667;9.0824;8.7;1064;1592014.625;56538.13366
s079;SWI;CH7;Switzerland;cropland;cr;0.184;25.8;0.98;1.75;30100;2370;1000.32;7.75;47.4419;8.4938;9;1092;1774386.5;94988.4511
s080;SWI;CH8;Switzerland;grassland;gr;0.239;35.9;0.95;3.5;24800;2690;694.8;5.8;47.52006667;9.08035;8.7;1064;1040534.906;51690.96236
s081;SWI;CH9;Switzerland;cropland;cr;0.269;29.7;0.91;3.65;35500;3580;675.11;7.18;47.32463333;8.639233333;8;1200;1465545.5;59154.54283
s082;SWI;CH10;Switzerland;cropland;cr;0.234;28.3;1.04;2.34;30600;3090;1713.92;7.05;47.45756667;8.460366667;9;1092;1724183.938;72301.03365
s083;SWI;CH11;Switzerland;grassland;gr;0.271;22.7;0.88;3.3;53900;3350;876.31;7.39;47.52698333;9.051283333;8.7;1064;1300227.688;32022.73715
s084;SWI;CH12;Switzerland;cropland;cr;0.352;45.2;0.96;3.8;51100;4790;1154.24;6.96;47.30628333;8.729283333;9.2;1102;1635474.813;49854.82797
s085;SWI;CH13;Switzerland;cropland;cr;0.214;16.1;1.01;2.61;27700;2840;897.66;7.1;47.52735;9.051166667;8.7;1064;1568309.75;62768.57882
s086;SWI;CH14;Switzerland;grassland;gr;0.201;30.8;1.05;3.81;27400;2340;659.15;7.15;47.30625;8.72745;9.2;1102;1139716.125;38135.9821
s087;SWI;CH15;Switzerland;cropland;cr;0.153;31.4;1.09;2.8;23800;2410;1033.33;6.78;47.47786667;8.660983333;8.4;1119;1717066.625;85038.13677
s088;SWI;CH16;Switzerland;cropland;cr;0.22;25.9;0.95;1.93;17600;1920;967.85;6.24;47.5452;9.0667;9.3;1002;1420605.938;109101.7546
s089;SWI;CH17;Switzerland;grassland;gr;0.163;28.7;1;3.29;46700;3340;431.88;6.59;47.547993;8.688404;9.1;1034;1630079.25;36112.35693
s090;SWI;CH18;Switzerland;cropland;cr;0.153;25.4;0.9;2.3;25500;2430;1151.03;7.36;47.46021667;8.686316667;8.7;1094;1969069.063;88202.17238
s091;SWI;CH19;Switzerland;cropland;cr;0.281;39.7;0.84;3.64;37700;3780;1390.46;7.05;47.31295;8.7141;9.2;1102;1487997.875;49184.62723
s092;SWI;CH20;Switzerland;grassland;gr;0.183;26.7;1.03;3.67;36500;2940;818.9;6.93;47.477722;8.664111;8.4;1119;1521600.688;71982.13726
s093;SWI;CH21;Switzerland;cropland;cr;0.294;27.1;0.94;2.96;29000;3080;1348.76;7.17;47.18103333;8.287566667;9;1119;1184542.875;37995.07961
s094;SWI;CH22;Switzerland;cropland;cr;0.136;27.4;0.79;1.39;32300;2400;1121.33;7.79;47.545917;8.684194;9.1;1034;1841123.625;165590.9286
s095;SWI;CH23;Switzerland;grassland;gr;0.291;39.8;1.18;3.65;21200;2330;781.6;5.74;47.17908333;8.333583333;8.6;1161;1033041.375;92278.93039
s096;SWI;CH24;Switzerland;cropland;cr;0.309;37.3;0.92;3.15;36600;4000;1139.35;7.2;47.18683333;8.295733333;8.4;1170;1478396.563;49120.58509
s097;SWI;CH25;Switzerland;cropland;cr;0.2;30.6;0.76;3.21;45100;3030;1251.49;7.61;47.514944;8.695778;9.2;1043;1466096.344;61699.26032
s098;SWI;CH26;Switzerland;grassland;gr;0.281;31.1;1.1;3.6;23600;2550;778.41;5.88;47.17476667;8.314583333;8.4;1170;1082664.719;57555.17433
s099;SWI;CH27;Switzerland;cropland;cr;0.202;24.6;1;3.7;25000;2610;779.67;6.61;47.37053333;8.069066667;9.1;1028;1491967.188;69427.69182
s100;SWI;CH28;Switzerland;cropland;cr;0.158;8.6;1.17;2.66;25600;1240;802.84;7.82;47.16695;8.31425;8.4;1170;1771599.313;70741.4671
s101;SWI;CH29;Switzerland;grassland;gr;0.172;20.4;1.34;3.46;17100;1760;777.63;5.92;47.38451667;8.191016667;9.2;1037;1511234.063;59220.6129
s102;SWI;CH30;Switzerland;cropland;cr;0.133;21.2;1.12;2.23;19700;2000;932.88;6.57;47.39183333;8.197383333;9.2;1037;1621511.688;87850.44648
s103;SWI;CH31;Switzerland;cropland;cr;0.309;24.5;1.01;3.99;38500;4120;1502.26;6.7;47.17618333;8.3226;8.4;1170;1218304.313;42163.93231
s104;SWI;CH32;Switzerland;grassland;gr;0.256;38.8;1.09;3.89;26600;2730;863.68;6;47.45343333;8.505883333;9.1;1090;1460060.813;90841.97441
s105;SWI;CH33;Switzerland;cropland;cr;0.183;30.8;1.23;2.28;21600;2170;731.58;7.24;47.45466667;8.505983333;9.1;1090;1764206.125;73215.38673
s106;SWI;CH34;Switzerland;cropland;cr;0.157;18.4;0.98;0.83;20300;2020;903.36;6.94;47.39145;8.197683333;9.2;1037;1523218.25;93809.70785
s107;SWI;CH35;Switzerland;grassland;gr;0.115;24.6;1.25;3.29;16600;1570;886.95;5.66;47.3954;8.2292;9.1;1055;1448715;108708.374
s108;SWI;CH36;Switzerland;cropland;cr;0.14;19.5;1.17;2.64;17200;1620;473.79;7.18;47.41341667;8.11485;9.4;999;1629441.75;78863.66807
s109;SWI;CH37;Switzerland;cropland;cr;0.135;14.7;0.99;1.51;19600;1950;1144.18;7.18;47.39468333;8.228516667;9.1;1055;1183380.359;106975.0313
s110;SWI;CH38;Switzerland;grassland;gr;0.122;19.5;1.16;2.69;14500;1410;708.12;6;47.38903333;8.232466667;9.1;1055;1056811.906;76957.07422
s111;SWI;CH39;Switzerland;cropland;cr;0.211;17.4;1.11;1.62;15400;1710;912.68;6.72;47.42441667;8.256333333;9.3;1035;1222648.938;94766.61344
s112;SWI;CH40;Switzerland;cropland;cr;0.097;12.9;1.08;1.24;15800;1640;926.05;7.04;47.3903;8.235866667;9.1;1055;1418303.438;95415.94983
s113;SWI;CH41;Switzerland;grassland;gr;0.198;39.8;0.99;3.66;50400;3530;562.43;7.54;47.41791667;8.1464;9.3;1012;1499041.813;67723.06351
s114;SWI;CH42;Switzerland;cropland;cr;0.169;19.1;1.21;2.4;16100;1650;897.66;6.6;47.41716667;8.176333333;9.2;1034;1365486.125;77185.48906
s115;SWI;CH43;Switzerland;cropland;cr;0.245;18.8;0.96;1.21;18200;1870;950.97;6.85;47.44865;8.26865;9.3;1035;1121402.578;99689.18359
s116;SWI;CH44;Switzerland;grassland;gr;0.267;31.1;0.98;3.26;24500;2190;1150.03;5.63;47.44751667;8.27215;9.3;1035;1513028.188;127586.8099
